ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,engine_capacity,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,price_in_billion
4830906,Domestic assembly,Used car,SUV,100000,Grey,Cream,5,8,Diesel,2.5,Manual,RFD,12.4,Toyota,Fortuner,2013,0.605
4830909,Domestic assembly,Used car,Sedan,0,White,Black,4,5,Petrol,2,Automatic,FWD,8.6,Mazda,6,2020,0.715
4830913,Domestic assembly,Used car,Sedan,38000,Black,Black,4,5,Petrol,3,Automatic,RFD,4.1,Mercedes-Benz,S450L,2018,3.049
4830916,Domestic assembly,Used car,Sedan,282,Black,Black,4,5,Petrol,1.5,Automatic,RFD,8.7,Mercedes-Benz,E180,2022,1.709
4830919,Imported,New car,SUV,0,White,Black,5,5,Petrol,1.5,Automatic,FWD,0,Mazda,cx3,2023,0.656
4830931,Domestic assembly,Used car,Crossover,0,White,Grey,5,8,Petrol,2,Manual,RFD,11.5,Toyota,Innova,2006,0.179
4830932,Imported,Used car,Sedan,66000,Black,Grey,4,5,Petrol,2.5,Automatic,FWD,9.2,Toyota,Camry,2010,0.65
4830942,Domestic assembly,New car,Sedan,0,Green,Black,4,5,Petrol,2,Automatic,FWD,7.8,Mazda,3,2023,0.619
4830943,Imported,Used car,SUV,0,Brown,Black,5,7,Petrol,1.5,Automatic,FWD,12.4,Suzuki,XL7,2021,0.555
4830946,Domestic assembly,New car,SUV,0,Red,Black,5,7,Petrol,2.5,Automatic,FWD,9.9,Mazda,CX-8,2023,0.999
4830949,Domestic assembly,Used car,SUV,45000,White,Black,5,5,Petrol,2,Automatic,FWD,9.4,Mazda,CX-5,2018,0.72
4830958,Domestic assembly,Used car,SUV,53000,Black,Black,5,5,Petrol,2,Automatic,AWD,9.4,Mercedes-Benz,GLC200,2020,1.495
4830962,Domestic assembly,Used car,SUV,20000,Green,Black,5,7,Petrol,2.3,Automatic,4WD,10,Ssangyong,Musso,2008,0.11
4830964,Domestic assembly,Used car,Sedan,40000,White,Cream,4,5,Petrol,1.5,Manual,FWD,8.1,Toyota,Vios,2019,0.397
4830966,Domestic assembly,Used car,Sedan,13000,White,Black,4,5,Petrol,3,Automatic,RFD,3.7,Mercedes-Benz,S450L,2020,3.69
4830967,Domestic assembly,Used car,Sedan,42000,Black,Black,4,5,Petrol,3,Automatic,RFD,9,Mercedes-Benz,S400L,2016,1.9
4830974,Imported,Used car,Van/Minivan,18000,Black,Black,5,7,Petrol,3.5,Automatic,FWD,15.2,Toyota,Alphard,2019,3.75
4830976,Imported,Used car,Sedan,97000,Green,Cream,4,5,Petrol,2,Automatic,RFD,10,BMW,5_Series,2015,1.05
4830977,Domestic assembly,Used car,Van/Minivan,83000,White,Cream,5,7,Diesel,2.2,Automatic,FWD,12.1,Kia,Sedona,2018,0.868
4830978,Domestic assembly,New car,Sedan,0,White,Grey,4,5,Petrol,2.5,Automatic,FWD,8.5,Mazda,6,2023,0.899
4830982,Imported,Used car,Sedan,12000,Green,Brown,4,5,Petrol,3,Automatic,AWD,12.1,Maserati,Ghibli,2018,3.65
4830985,Imported,Used car,SUV,5000,Brown,Cream,5,7,Petrol,2.7,Automatic,4WD,12.2,Toyota,Prado,2022,3.09
4830986,Domestic assembly,New car,SUV,0,Black,Black,5,5,Petrol,2.5,Automatic,FWD,9.4,Mazda,CX-5,2023,0.819
4830990,Imported,Used car,SUV,21000,Black,Brown,5,7,Petrol,5.7,Automatic,AWD,14.5,Lexus,LX570,2021,8.99
4830993,Imported,Used car,SUV,10300,White,Black,5,7,Petrol,2,Automatic,FWD,7,Zotye,Z8,2020,0.6
4830999,Domestic assembly,Used car,Crossover,0,Green,Black,5,7,Petrol,2,Automatic,FWD,7.8,Kia,Carens,2014,0.365
4831002,Domestic assembly,Used car,Sedan,0,Black,Yellow,4,5,Petrol,1.8,Automatic,FWD,7.3,Toyota,Corolla_altis,2017,0.566
4831003,Imported,Used car,SUV,70000,Brown,Cream,5,7,Petrol,4.6,Automatic,AWD,13.8,Lexus,GX460,2015,2.89
4831011,Imported,Used car,Sedan,22000,Black,Cream,4,5,Petrol,2.5,Automatic,FWD,6.4,Toyota,Camry,2020,1.02
4831014,Domestic assembly,Used car,SUV,40000,Red,Brown,5,7,Petrol,2.5,Automatic,FWD,9.9,Mazda,CX-8,2020,0.95
4831022,Domestic assembly,Used car,SUV,0,Silver,Black,5,5,Petrol,2.5,Automatic,FWD,9.4,Mazda,CX-5,2018,0.78
4831025,Domestic assembly,Used car,Sedan,0,Silver,Grey,4,5,Petrol,1.5,Manual,FWD,8.1,Toyota,Vios,2019,0.385
4831028,Imported,Used car,Sedan,80000,Silver,Black,4,5,Petrol,1.25,Manual,FWD,6,Hyundai,i10,2015,0.225
4831034,Imported,Used car,Sedan,50000,Black,Brown,4,5,Petrol,2,Automatic,RFD,10,BMW,5_Series,2012,0.8
4831041,Domestic assembly,Used car,SUV,50000,Grey,Default Value,5,7,Petrol,1.6,Automatic,FWD,7.7,Peugeot,5008,2020,0.888
4831042,Imported,Used car,Hatchback,140000,White,Brown,5,5,Petrol,1.4,Automatic,FWD,7.4,Hyundai,Accent,2014,0.33
4831047,Imported,Used car,SUV,80000,Silver,Grey,5,7,Petrol,2.5,Automatic,FWD,11,Toyota,RAV4,2009,0.395
4831053,Imported,Used car,Hatchback,70000,Orange,Colorful,5,5,Petrol,1,Automatic,FWD,6,Hyundai,i10,2015,0.31
4831062,Domestic assembly,Used car,SUV,40000,White,Black,5,7,Petrol,1.6,Automatic,FWD,7.7,Peugeot,5008,2020,0.975
4831074,Domestic assembly,Used car,Sedan,120,Black,Black,4,5,Petrol,1.5,Automatic,RFD,9,Mercedes-Benz,E180,2021,1.659
4831086,Imported,Used car,Hatchback,46000,Red,Cream,5,5,Petrol,1.5,Automatic,FWD,6.6,Toyota,Yaris,2019,0.565
4831087,Domestic assembly,Used car,Sedan,55000,White,Black,4,5,Petrol,2,Automatic,RFD,9.3,Mercedes-Benz,E300,2017,1.42
4831088,Domestic assembly,Used car,Hatchback,0,Red,Colorful,5,5,Petrol,1.25,Automatic,FWD,8.3,Kia,Morning,2018,0.335
4831089,Domestic assembly,Used car,SUV,100000,Black,Cream,5,8,Diesel,2.5,Automatic,RFD,11.8,Ford,Everest,2013,0.495
4831094,Domestic assembly,Used car,Sedan,8000,Black,Grey,4,5,Petrol,1.8,Manual,FWD,8,Honda,Civic,2011,0.258
4831096,Domestic assembly,Used car,Van/Minivan,160000,Green,Grey,2,3,Diesel,2.5,Manual,RFD,10.6,Toyota,Hiace,2007,0.215
4831105,Domestic assembly,Used car,Sedan,48000,White,Cream,4,5,Petrol,1.5,Automatic,FWD,8.1,Toyota,Vios,2020,0.49
4831115,Domestic assembly,Used car,Sedan,120000,Black,Cream,4,5,Petrol,1.8,Manual,FWD,7.3,Toyota,Corolla_altis,2008,0.219
4831116,Domestic assembly,Used car,Crossover,115000,Silver,Brown,5,8,Petrol,2,Manual,RFD,11,Toyota,Innova,2018,0.5
4831130,Domestic assembly,Used car,Sedan,0,White,Colorful,4,5,Petrol,1.5,Manual,FWD,9.3,Toyota,Vios,2017,0.348
4831132,Imported,Used car,SUV,37000,Black,Brown,5,4,Petrol,5,Automatic,AWD,9.8,LandRover,Range_Rover,2014,4.75
4831140,Domestic assembly,Used car,SUV,110000,Yellow,Black,5,5,Petrol,2.3,Automatic,4WD,10.9,Ford,Escape,2011,0.26
4831141,Domestic assembly,Used car,Sedan,29000,Black,Black,4,5,Petrol,1.5,Automatic,FWD,7.7,Honda,City,2015,0.395
4831147,Imported,Used car,Pickup,43000,Sand,Grey,4,5,Diesel,2,Automatic,4WD,11.7,Ford,Ranger,2020,0.66
4831152,Domestic assembly,Used car,Sedan,9000,Red,Colorful,4,5,Petrol,1.25,Automatic,FWD,6.7,Hyundai,i10,2020,0.395
4831161,Imported,Used car,Hatchback,75000,White,Colorful,5,5,Petrol,1.25,Automatic,FWD,6,Hyundai,i10,2015,0.328
4831166,Domestic assembly,Used car,Sedan,56000,White,Cream,4,5,Petrol,1.6,Automatic,FWD,8.5,Kia,Cerato,2018,0.51
4831179,Imported,Used car,SUV,40000,White,Brown,5,7,Petrol,1.5,Automatic,FWD,10,Mitsubishi,Xpander,2020,0.595
4831188,Domestic assembly,Used car,Sedan,29000,White,Cream,4,5,Petrol,3,Automatic,RFD,10.2,Mercedes-Benz,S450L,2019,3.386
4831189,Domestic assembly,Used car,Hatchback,9000,Red,Black,5,5,Petrol,1.25,Automatic,FWD,6.7,Hyundai,i10,2021,0.4
